Name,Role,Position,Year,AVG,OBP,SLG,OPS,RBI,HR,IP,ERA,WIN,WHIP,SO
Leem,Pitcher,starting pitcher,2019,X,X,X,X,X,X,89,4.97,3,1.47,72
Leem,Pitcher,starting pitcher,2020,X,X,X,X,X,X,148,4.08,10,1.41,138
Leem,Pitcher,starting pitcher,2021,X,X,X,X,X,X,91,3.87,1,1.29,67
Leem,Pitcher,starting pitcher,2022,X,X,X,X,X,X,104,5.04,6,1.47,75
Leem,Pitcher,starting pitcher,2023,X,X,X,X,X,X,145,3.42,14,1.35,103
Kelly,Pitcher,starting pitcher,2019,X,X,X,X,X,X,180,2.55,14,1.14,126
Kelly,Pitcher,starting pitcher,2020,X,X,X,X,X,X,173,3.32,15,1.15,134
Kelly,Pitcher,starting pitcher,2021,X,X,X,X,X,X,177,3.15,13,1.24,142
Kelly,Pitcher,starting pitcher,2022,X,X,X,X,X,X,166,2.54,16,1.08,153
Kelly,Pitcher,starting pitcher,2023,X,X,X,X,X,X,179,3.83,10,1.24,129
KimYunSik,Pitcher,starting pitcher,2022,X,X,X,X,X,X,114,3.31,8,1.33,81
KimYunSik,Pitcher,starting pitcher,2023,X,X,X,X,X,X,75,4.22,6,1.49,42
Flutko,Pitcher,starting pitcher,2022,X,X,X,X,X,X,162,2.39,15,1.01,149
Flutko,Pitcher,starting pitcher,2023,X,X,X,X,X,X,123,2.41,11,1.18,101
ChoiOnTae,Pitcher,starting pitcher,2023,X,X,X,X,X,X,147,4.3,9,1.33,118
LeejiGang,Pitcher,starting pitcher,2023,X,X,X,X,X,X,68,3.97,2,1.29,38
JinHaeSu,Pitcher,bullpen pitcher,2016,X,X,X,X,X,X,54,4.67,0,1.74,54
JinHaeSu,Pitcher,bullpen pitcher,2017,X,X,X,X,X,X,53,3.93,3,1.26,43
JinHaeSu,Pitcher,bullpen pitcher,2018,X,X,X,X,X,X,44,7.21,2,1.74,37
JinHaeSu,Pitcher,bullpen pitcher,2019,X,X,X,X,X,X,42,3.43,3,1.43,38
JinHaeSu,Pitcher,bullpen pitcher,2020,X,X,X,X,X,X,50,4.32,4,1.54,59
JinHaeSu,Pitcher,bullpen pitcher,2021,X,X,X,X,X,X,44,2.44,1,1.33,39
JinHaeSu,Pitcher,bullpen pitcher,2022,X,X,X,X,X,X,45,2.4,4,1.11,35
JinHaeSu,Pitcher,bullpen pitcher,2023,X,X,X,X,X,X,15,3.68,0,1.91,12
BaekSeungH,Pitcher,bullpen pitcher,2023,X,X,X,X,X,X,40,1.58,2,1.15,30
KimJinSung,Pitcher,bullpen pitcher,2022,X,X,X,X,X,X,58,3.1,6,1.14,54
KimJinSung,Pitcher,bullpen pitcher,2023,X,X,X,X,X,X,70,2.18,5,0.95,69
HamduckJu,Pitcher,bullpen pitcher,2021,X,X,X,X,X,X,21,4.29,1,1.57,18
HamduckJu,Pitcher,bullpen pitcher,2022,X,X,X,X,X,X,13,2.13,0,1.58,13
HamduckJu,Pitcher,bullpen pitcher,2023,X,X,X,X,X,X,56,1.62,4,0.97,59
ChoiDongHwan,Pitcher,bullpen pitcher,2015,X,X,X,X,X,X,21,8.27,0,1.84,21
ChoiDongHwan,Pitcher,bullpen pitcher,2016,X,X,X,X,X,X,35,4.41,2,1.3,22
ChoiDongHwan,Pitcher,bullpen pitcher,2017,X,X,X,X,X,X,38,5.68,1,1.42,31
ChoiDongHwan,Pitcher,bullpen pitcher,2018,X,X,X,X,X,X,37,4.62,1,1.19,29
ChoiDongHwan,Pitcher,bullpen pitcher,2019,X,X,X,X,X,X,23,6.26,1,1.52,13
ChoiDongHwan,Pitcher,bullpen pitcher,2020,X,X,X,X,X,X,56,3.47,4,1.17,42
ChoiDongHwan,Pitcher,bullpen pitcher,2021,X,X,X,X,X,X,6,9.53,0,1.77,2
ChoiDongHwan,Pitcher,bullpen pitcher,2022,X,X,X,X,X,X,50,4.14,0,1.24,30
ChoiDongHwan,Pitcher,bullpen pitcher,2023,X,X,X,X,X,X,42,3.19,0,1.39,20
U youn chan,Pitcher,bullpen pitcher,2023,X,X,X,X,X,X,68,3.44,6,1.4,55
LeeUchan,Pitcher,bullpen pitcher,2021,X,X,X,X,X,X,34,5.56,0,1.79,27
LeeUchan,Pitcher,bullpen pitcher,2022,X,X,X,X,X,X,45,1.81,5,1.12,42
LeeUchan,Pitcher,bullpen pitcher,2023,X,X,X,X,X,X,38,3.52,1,1.38,30
Leejungyoun,Pitcher,bullpen pitcher,2020,X,X,X,X,X,X,34,3.71,3,1.35,33
Leejungyoun,Pitcher,bullpen pitcher,2021,X,X,X,X,X,X,70,2.97,3,1.12,74
Leejungyoun,Pitcher,bullpen pitcher,2022,X,X,X,X,X,X,59,3.19,4,1.18,40
Leejungyoun,Pitcher,bullpen pitcher,2023,X,X,X,X,X,X,87,4.15,7,1.37,50
jeongUYoung,Pitcher,bullpen pitcher,2019,X,X,X,X,X,X,65,3.72,4,1.18,38
jeongUYoung,Pitcher,bullpen pitcher,2020,X,X,X,X,X,X,75,3.12,4,1.03,59
jeongUYoung,Pitcher,bullpen pitcher,2021,X,X,X,X,X,X,65,2.22,7,1.06,41
jeongUYoung,Pitcher,bullpen pitcher,2022,X,X,X,X,X,X,58,2.64,2,1.38,40
jeongUYoung,Pitcher,bullpen pitcher,2023,X,X,X,X,X,X,52,4.7,5,1.55,41
GoUSuk,Pitcher,bullpen pitcher,2019,X,X,X,X,X,X,71,1.52,8,1.09,76
GoUSuk,Pitcher,bullpen pitcher,2020,X,X,X,X,X,X,42,4.1,0,1.34,51
GoUSuk,Pitcher,bullpen pitcher,2021,X,X,X,X,X,X,58,2.17,1,1.21,68
GoUSuk,Pitcher,bullpen pitcher,2022,X,X,X,X,X,X,61,1.48,4,0.96,80
GoUSuk,Pitcher,bullpen pitcher,2023,X,X,X,X,X,X,44,3.68,3,1.36,59
